transaction_id,user_id,transacted_at,type,counterparty,amount,category,subcategory,balance_after
A03202510001,U1003,2025-10-20T09:00:00,in,Student,2200000,income,salary,2940000
A03202510002,U1003,2025-10-21T09:10:00,out,Home Owner,600000,fixed_cost,rent,2340000
A03202510003,U1003,2025-10-22T10:10:00,out,Mobile Carrier,45000,fixed_cost,telecom,2295000
A03202510004,U1003,2025-10-23T08:40:00,out,Utility Office,29000,fixed_cost,utility,2266000
A02202510001,U1002,2025-10-24T09:00:00,in,Freelancer,2800000,income,salary,3780000
A01202510001,U1001,2025-10-25T09:00:00,in,Office Worker,3200000,income,salary,4520000
A04202510001,U1004,2025-10-25T09:00:00,in,Manager,5100000,income,salary,7900000
A05202510001,U1005,2025-10-25T09:00:00,in,Designer,3500000,income,salary,4710000
A06202510001,U1006,2025-10-25T09:00:00,in,Engineer,4300000,income,salary,5930000
A07202510001,U1007,2025-10-25T09:00:00,in,Teacher,3000000,income,salary,3870000
A08202510001,U1008,2025-10-25T09:00:00,in,Startup Operator,3900000,income,salary,5350000
A02202510002,U1002,2025-10-25T09:10:00,out,Home Owner,700000,fixed_cost,rent,3080000
A01202510002,U1001,2025-10-26T09:10:00,out,Home Owner,850000,fixed_cost,rent,3670000
A04202510002,U1004,2025-10-26T09:10:00,out,Home Owner,0,fixed_cost,rent,7900000
A05202510002,U1005,2025-10-26T09:10:00,out,Home Owner,930000,fixed_cost,rent,3780000
A06202510002,U1006,2025-10-26T09:10:00,out,Home Owner,1100000,fixed_cost,rent,4830000
A07202510002,U1007,2025-10-26T09:10:00,out,Home Owner,780000,fixed_cost,rent,3090000
A08202510002,U1008,2025-10-26T09:10:00,out,Home Owner,990000,fixed_cost,rent,4360000
A02202510003,U1002,2025-10-26T10:10:00,out,Mobile Carrier,50000,fixed_cost,telecom,3030000
A02202510004,U1002,2025-10-27T08:40:00,out,Utility Office,32000,fixed_cost,utility,2998000
A01202510003,U1001,2025-10-27T10:10:00,out,Mobile Carrier,65000,fixed_cost,telecom,3605000
A04202510003,U1004,2025-10-27T10:10:00,out,Mobile Carrier,89000,fixed_cost,telecom,7811000
A05202510003,U1005,2025-10-27T10:10:00,out,Mobile Carrier,62000,fixed_cost,telecom,3718000
A06202510003,U1006,2025-10-27T10:10:00,out,Mobile Carrier,59000,fixed_cost,telecom,4771000
A07202510003,U1007,2025-10-27T10:10:00,out,Mobile Carrier,54000,fixed_cost,telecom,3036000
A08202510003,U1008,2025-10-27T10:10:00,out,Mobile Carrier,61000,fixed_cost,telecom,4299000
A01202510004,U1001,2025-10-28T08:40:00,out,Utility Office,42000,fixed_cost,utility,3563000
A04202510004,U1004,2025-10-28T08:40:00,out,Utility Office,71000,fixed_cost,utility,7740000
A05202510004,U1005,2025-10-28T08:40:00,out,Utility Office,44000,fixed_cost,utility,3674000
A06202510004,U1006,2025-10-28T08:40:00,out,Utility Office,51000,fixed_cost,utility,4720000
A07202510004,U1007,2025-10-28T08:40:00,out,Utility Office,36000,fixed_cost,utility,3000000
A08202510004,U1008,2025-10-28T08:40:00,out,Utility Office,47000,fixed_cost,utility,4252000
A02202510005,U1002,2025-10-28T09:20:00,out,Insurance Co,48000,fixed_cost,insurance,2950000
A04202510005,U1004,2025-10-29T09:20:00,out,Insurance Co,220000,fixed_cost,insurance,7520000
A05202510005,U1005,2025-10-29T09:20:00,out,Insurance Co,71000,fixed_cost,insurance,3603000
A06202510005,U1006,2025-10-29T09:20:00,out,Insurance Co,96000,fixed_cost,insurance,4624000
A07202510005,U1007,2025-10-29T09:20:00,out,Insurance Co,58000,fixed_cost,insurance,2942000
A01202510005,U1001,2025-10-31T09:05:00,out,Main Card,858347,card_bill,card_payment,2704653
A02202510006,U1002,2025-10-31T09:05:00,out,Main Card,905425,card_bill,card_payment,2044575
A03202510005,U1003,2025-10-31T09:05:00,out,Main Card,415619,card_bill,card_payment,1850381
A04202510006,U1004,2025-10-31T09:05:00,out,Main Card,2951297,card_bill,card_payment,4568703
A05202510006,U1005,2025-10-31T09:05:00,out,Main Card,1623329,card_bill,card_payment,1979671
A06202510006,U1006,2025-10-31T09:05:00,out,Main Card,1634549,card_bill,card_payment,2989451
A07202510006,U1007,2025-10-31T09:05:00,out,Main Card,605790,card_bill,card_payment,2336210
A08202510005,U1008,2025-10-31T09:05:00,out,Main Card,1831638,card_bill,card_payment,2420362
A03202511001,U1003,2025-11-20T09:00:00,in,Student,2200000,income,salary,4050381
A03202511002,U1003,2025-11-21T09:10:00,out,Home Owner,600000,fixed_cost,rent,3450381
A03202511003,U1003,2025-11-22T10:10:00,out,Mobile Carrier,45000,fixed_cost,telecom,3405381
A03202511004,U1003,2025-11-23T08:40:00,out,Utility Office,29000,fixed_cost,utility,3376381
A02202511001,U1002,2025-11-24T09:00:00,in,Freelancer,2800000,income,salary,4844575
A01202511001,U1001,2025-11-25T09:00:00,in,Office Worker,3200000,income,salary,5904653
A04202511001,U1004,2025-11-25T09:00:00,in,Manager,5100000,income,salary,9668703
A05202511001,U1005,2025-11-25T09:00:00,in,Designer,3500000,income,salary,5479671
A06202511001,U1006,2025-11-25T09:00:00,in,Engineer,4300000,income,salary,7289451
A07202511001,U1007,2025-11-25T09:00:00,in,Teacher,3000000,income,salary,5336210
A08202511001,U1008,2025-11-25T09:00:00,in,Startup Operator,3900000,income,salary,6320362
A02202511002,U1002,2025-11-25T09:10:00,out,Home Owner,700000,fixed_cost,rent,4144575
A01202511002,U1001,2025-11-26T09:10:00,out,Home Owner,850000,fixed_cost,rent,5054653
A04202511002,U1004,2025-11-26T09:10:00,out,Home Owner,0,fixed_cost,rent,9668703
A05202511002,U1005,2025-11-26T09:10:00,out,Home Owner,930000,fixed_cost,rent,4549671
A06202511002,U1006,2025-11-26T09:10:00,out,Home Owner,1100000,fixed_cost,rent,6189451
A07202511002,U1007,2025-11-26T09:10:00,out,Home Owner,780000,fixed_cost,rent,4556210
A08202511002,U1008,2025-11-26T09:10:00,out,Home Owner,990000,fixed_cost,rent,5330362
A02202511003,U1002,2025-11-26T10:10:00,out,Mobile Carrier,50000,fixed_cost,telecom,4094575
A02202511004,U1002,2025-11-27T08:40:00,out,Utility Office,32000,fixed_cost,utility,4062575
A01202511003,U1001,2025-11-27T10:10:00,out,Mobile Carrier,65000,fixed_cost,telecom,4989653
A04202511003,U1004,2025-11-27T10:10:00,out,Mobile Carrier,89000,fixed_cost,telecom,9579703
A05202511003,U1005,2025-11-27T10:10:00,out,Mobile Carrier,62000,fixed_cost,telecom,4487671
A06202511003,U1006,2025-11-27T10:10:00,out,Mobile Carrier,59000,fixed_cost,telecom,6130451
A07202511003,U1007,2025-11-27T10:10:00,out,Mobile Carrier,54000,fixed_cost,telecom,4502210
A08202511003,U1008,2025-11-27T10:10:00,out,Mobile Carrier,61000,fixed_cost,telecom,5269362
A01202511004,U1001,2025-11-28T08:40:00,out,Utility Office,42000,fixed_cost,utility,4947653
A04202511004,U1004,2025-11-28T08:40:00,out,Utility Office,71000,fixed_cost,utility,9508703
A05202511004,U1005,2025-11-28T08:40:00,out,Utility Office,44000,fixed_cost,utility,4443671
A06202511004,U1006,2025-11-28T08:40:00,out,Utility Office,51000,fixed_cost,utility,6079451
A07202511004,U1007,2025-11-28T08:40:00,out,Utility Office,36000,fixed_cost,utility,4466210
A08202511004,U1008,2025-11-28T08:40:00,out,Utility Office,47000,fixed_cost,utility,5222362
A02202511005,U1002,2025-11-28T09:20:00,out,Insurance Co,48000,fixed_cost,insurance,4014575
A04202511005,U1004,2025-11-29T09:20:00,out,Insurance Co,220000,fixed_cost,insurance,9288703
A05202511005,U1005,2025-11-29T09:20:00,out,Insurance Co,71000,fixed_cost,insurance,4372671
A06202511005,U1006,2025-11-29T09:20:00,out,Insurance Co,96000,fixed_cost,insurance,5983451
A07202511005,U1007,2025-11-29T09:20:00,out,Insurance Co,58000,fixed_cost,insurance,4408210
A01202511005,U1001,2025-11-30T09:05:00,out,Main Card,731881,card_bill,card_payment,4215772
A02202511006,U1002,2025-11-30T09:05:00,out,Main Card,549785,card_bill,card_payment,3464790
A03202511005,U1003,2025-11-30T09:05:00,out,Main Card,800240,card_bill,card_payment,2576141
A04202511006,U1004,2025-11-30T09:05:00,out,Main Card,2597624,card_bill,card_payment,6691079
A05202511006,U1005,2025-11-30T09:05:00,out,Main Card,1313501,card_bill,card_payment,3059170
A06202511006,U1006,2025-11-30T09:05:00,out,Main Card,1252377,card_bill,card_payment,4731074
A07202511006,U1007,2025-11-30T09:05:00,out,Main Card,883876,card_bill,card_payment,3524334
A08202511005,U1008,2025-11-30T09:05:00,out,Main Card,1512026,card_bill,card_payment,3710336
A01202512001,U1001,2025-12-15T13:20:00,in,Additional Income,500000,income,year_end_bonus,4715772
A04202512001,U1004,2025-12-15T13:20:00,in,Additional Income,1200000,income,performance_bonus,7891079
A06202512001,U1006,2025-12-15T13:20:00,in,Additional Income,240000,income,stock_dividend,4971074
A03202512001,U1003,2025-12-20T09:00:00,in,Student,2200000,income,salary,4776141
A03202512002,U1003,2025-12-21T09:10:00,out,Home Owner,600000,fixed_cost,rent,4176141
A03202512003,U1003,2025-12-22T10:10:00,out,Mobile Carrier,45000,fixed_cost,telecom,4131141
A03202512004,U1003,2025-12-23T08:40:00,out,Utility Office,29000,fixed_cost,utility,4102141
A02202512001,U1002,2025-12-24T09:00:00,in,Freelancer,2800000,income,salary,6264790
