transaction_id,user_id,approved_at,merchant_name,amount,category,subcategory,payment_method,status,is_recurring
C01202510032,U1001,2025-10-01T07:36:00,Cafe A,5955,food,cafe,credit_card,approved,false
C01202510035,U1001,2025-10-01T07:37:00,Cafe A,4671,food,cafe,credit_card,approved,false
C01202510027,U1001,2025-10-01T08:28:00,MegaCafe,3458,food,cafe,credit_card,approved,false
C01202510045,U1001,2025-10-01T08:35:00,Cafe A,4941,food,cafe,credit_card,approved,false
C05202510033,U1005,2025-10-01T10:24:00,Cafe Nova,6347,food,cafe,credit_card,approved,false
C08202510049,U1008,2025-10-01T12:00:00,Coupang,54282,shopping,ecommerce,credit_card,approved,false
C08202510037,U1008,2025-10-01T12:49:00,Coupang,63938,shopping,ecommerce,credit_card,approved,false
C01202510001,U1001,2025-10-01T13:27:00,Subway,10271,food,fastfood,credit_card,approved,false
C02202510010,U1002,2025-10-01T15:51:00,Cafe Nova,7495,food,cafe,credit_card,approved,false
C05202510035,U1005,2025-10-01T16:53:00,Style Shop,27609,shopping,fashion,credit_card,approved,false
C07202510005,U1007,2025-10-01T17:56:00,Book Mart,16039,shopping,book,credit_card,approved,false
C03202510018,U1003,2025-10-01T18:48:00,Bus Fare,1682,transport,public_transit,credit_card,approved,false
C04202510025,U1004,2025-10-01T19:35:00,Steak House,85615,food,dining,credit_card,approved,false
C02202510023,U1002,2025-10-01T20:02:00,Streaming Co,17000,subscription,ott,credit_card,approved,true
C08202510005,U1008,2025-10-01T20:49:00,Coupang,66772,shopping,ecommerce,credit_card,approved,false
C08202510021,U1008,2025-10-01T21:08:00,Night Delivery,22270,food,delivery,credit_card,approved,false
C05202510024,U1005,2025-10-01T22:46:00,Cabin Hotel,145786,travel,hotel,credit_card,approved,false
C08202510026,U1008,2025-10-01T23:25:00,Taxi Go,20137,transport,taxi,credit_card,approved,false
C08202510055,U1008,2025-10-01T23:47:00,Taxi Go,22801,transport,taxi,credit_card,approved,false
C01202510011,U1001,2025-10-01T23:50:00,GS25 Gangnam,6452,food,convenience_store,credit_card,approved,false
C08202510016,U1008,2025-10-02T07:22:00,Premium Gym,79000,health,fitness,credit_card,approved,false
C04202510006,U1004,2025-10-02T08:05:00,Fuel Max,78834,transport,fuel,credit_card,approved,false
C03202510019,U1003,2025-10-02T08:18:00,Bus Fare,1690,transport,public_transit,credit_card,approved,false
C01202510029,U1001,2025-10-02T09:42:00,Cafe A,6140,food,cafe,credit_card,approved,false
C01202510005,U1001,2025-10-02T09:53:00,Cafe A,4664,food,cafe,credit_card,approved,false
C02202510033,U1002,2025-10-02T09:57:00,Cafe Nova,7587,food,cafe,credit_card,approved,false
C01202510019,U1001,2025-10-02T13:47:00,Kyobo Bookstore,24768,shopping,book,credit_card,approved,false
C07202510007,U1007,2025-10-02T16:52:00,Cafe Lane,5819,food,cafe,credit_card,approved,false
C03202510007,U1003,2025-10-02T18:01:00,Sport Mart,23613,shopping,sports,credit_card,approved,false
C03202510002,U1003,2025-10-02T18:25:00,Green Market,13873,food,groceries,credit_card,approved,false
C07202510013,U1007,2025-10-02T19:04:00,Local Market,21045,food,groceries,credit_card,approved,false
C04202510013,U1004,2025-10-02T19:44:00,Family Mart,29498,food,groceries,credit_card,approved,false
C04202510017,U1004,2025-10-02T19:54:00,Steak House,91267,food,dining,credit_card,approved,false
C07202510015,U1007,2025-10-02T20:55:00,Online Class,20290,education,course,credit_card,approved,false
C08202510045,U1008,2025-10-02T21:01:00,Night Delivery,34045,food,delivery,credit_card,approved,false
C01202510049,U1001,2025-10-02T21:08:00,Baedal,32455,food,delivery,credit_card,approved,false
C08202510022,U1008,2025-10-02T23:38:00,Taxi Go,20784,transport,taxi,credit_card,approved,false
C01202510031,U1001,2025-10-03T07:04:00,Cafe A,4436,food,cafe,credit_card,approved,false
C03202510035,U1003,2025-10-03T08:13:00,Bus Fare,1561,transport,public_transit,credit_card,approved,false
C03202510027,U1003,2025-10-03T13:24:00,Book Mart,10249,shopping,book,credit_card,approved,false
C05202510044,U1005,2025-10-03T18:21:00,Canvas Market,31501,shopping,living,credit_card,approved,false
C04202510042,U1004,2025-10-03T18:46:00,Family Mart,37931,food,groceries,credit_card,approved,false
C04202510048,U1004,2025-10-03T19:52:00,Family Mart,28347,food,groceries,credit_card,approved,false
C05202510034,U1005,2025-10-03T22:26:00,DeliveryX,22428,food,delivery,credit_card,approved,false
C08202510040,U1008,2025-10-03T23:31:00,Taxi Go,13126,transport,taxi,credit_card,approved,false
C08202510027,U1008,2025-10-03T23:49:00,Bar 45,21503,leisure,bar,credit_card,approved,false
C04202510030,U1004,2025-10-04T18:27:00,Family Mart,40010,food,groceries,credit_card,approved,false
C02202510048,U1002,2025-10-04T18:48:00,Market One,11246,food,groceries,credit_card,approved,false
C07202510020,U1007,2025-10-04T19:00:00,Local Market,15024,food,groceries,credit_card,approved,false
C05202510001,U1005,2025-10-04T20:18:00,Style Shop,74328,shopping,fashion,credit_card,approved,false
C02202510009,U1002,2025-10-04T20:46:00,Style Shop,83760,shopping,fashion,credit_card,approved,false
C08202510014,U1008,2025-10-04T23:37:00,Night Delivery,20249,food,delivery,credit_card,approved,false
C01202510025,U1001,2025-10-04T23:38:00,GS25 Gangnam,11131,food,convenience_store,credit_card,approved,false
C08202510051,U1008,2025-10-05T00:39:00,Convenience Hub,9699,food,convenience_store,credit_card,approved,false
